gesture@eiv1982f	@eiv1982f	186.48	191.06	соединяет кончики пальцев правой руки, ритмично бьёт правой рукой растопыривает пальцы правой руки, двигает правой рукой вправо, перебирает пальцами правой руки
gesture@eiv1982f	@eiv1982f	191.087	191.87	указывает правой рукой на зал
gesture@eiv1982f	@eiv1982f	197.4	199.2	стучит правым кулаком по барной стойке
gesture@eiv1982f	@eiv1982f	199.24	200.59	ритмично кивает головой
gesture@eiv1982f	@eiv1982f	200.62	202.18	показывает правой рукой на дверь, разжимает указательный палец
gesture@eiv1982f	@eiv1982f	202.762	204.392	вращает правой кистью, мотает головой
gesture@eiv1982f	@eiv1982f	204.42	204.81	растопыривает пальцы правой руки, ритмично бьёт правой рукой
gesture@eiv1982f	@eiv1982f	211.15	211.85	ритмично бьёт правой рукой
gesture@eiv1982f	@eiv1982f	211.885	215.185	 поднимает правую кисть на уровень головы, ритмично вращает правой кистью к себе
gesture@eiv1982f	@eiv1982f	215.21	216.88	кладёт правую ладонь на барную стойку
gesture@eiv1982f	@eiv1982f	216.9	218.99	сжимает правый кулак, ритмично вращает правой кистью к себе
gesture@eiv1982f	@eiv1982f	219.02	222.75	пальцы правой руки полусогнуты, многократно показывает правой рукой на "бороду"
gesture@eiv1982f	@eiv1982f	222.76	224.11	двигает правую кисть от себя, ритмично кивает головой
gesture@eiv1982f	@eiv1982f	225.35	226.025	пожимает плечами ритмично бьёт правой рукой
gesture@eiv1982f	@eiv1982f	227.39	228.77	поднимает правую руку, сжимает правую кисть в кулак, ритмично растопыривает пальцы, ритмично двигает кисть от себя
gesture@eiv1982f	@eiv1982f	232.345	234.01	перебирает пальцами
gesture@eiv1982f	@eiv1982f	241.255	242.865	отворачивает голову от собеседницы
gesture@eiv1982f	@eiv1982f	244.565	246.925	ритмично кивает головой
gesture@eiv1982f	@eiv1982f	252.76	256.415	складывает руки, левая ладонь сверху, перебирает пальцами, складывает руки, правая ладонь сверху
gesture@eiv1982f	@eiv1982f	259.67	262.72	ритмично кивает головой, многократно поднимает указательный палец левой руки 
gesture@eiv1982f	@eiv1982f	263.625	265.96	склоняет голову вправо, мотает головой
gesture@eiv1982f	@eiv1982f	267.045	268.355	мотает головой
gesture@eiv1982f	@eiv1982f	269.01	270.93	ритмично кивает головой
gesture@eiv1982f	@eiv1982f	270.955	272.552	двигает левой рукой к залу, ритмично кивает головой 
gesture@eiv1982f	@eiv1982f	272.597	273.517	соединяет указательный и большой пальцы левой руки, поворачивает голову налево, двигает левой рукой к лицу
gesture@eiv1982f	@eiv1982f	273.572	275.782	опирается головой на левую руку
gesture@eiv1982f	@eiv1982f	282.26	282.82	запрокинуть голову
gesture@eiv1982f	@eiv1982f	300.65	301.27	пожимает плечами
gesture@eiv1982f	@eiv1982f	301.295	302.835	выдвигает подбородок
gesture@eiv1982f	@eiv1982f	302.85	304.1	перебирает пальцами левой руки
gesture@eiv1982f	@eiv1982f	305.36	306.76	качает головой
gesture@eiv1982f	@eiv1982f	306.775	307.935	многократно выдвигает подбородок
gesture@eiv1982f	@eiv1982f	309.58	311.01	пожимает плечами, многократно выдвигает подбородок вперёд
gesture@eiv1982f	@eiv1982f	317.07	318.31	перебирает пальцами левой руки
gesture@eiv1982f	@eiv1982f	318.355	322.5	качает головой
gesture@eiv1982f	@eiv1982f	322.525	324.32	мотает головой
gesture@eiv1982f	@eiv1982f	324.36	325.82	поворачивает голову влево, в правой руке стаканчик, показывает правой рукой на себя, выдвигает подбородок вперёд
gesture@eiv1982f	@eiv1982f	325.845	327.475	выдвигает подбородок
gesture@eiv1982f	@eiv1982f	331.695	332.005	наклоняется к собеседнице
gesture@eiv1982f	@eiv1982f	332.035	333.9	кивает головой, втягивает голову в плечи, пожимает плечами
gesture@iys1984f	@iys1984f	5.69	6.83	кивает головой
gesture@iys1984f	@iys1984f	8.36	10.24	ритмично кивает головой
gesture@iys1984f	@iys1984f	16.37	19.51	многократно машет левой рукой, мотает головой
gesture@iys1984f	@iys1984f	36.55	41.685	ритмично кивает головой
gesture@iys1984f	@iys1984f	42.3	42.79	мотает головой
gesture@iys1984f	@iys1984f	43.32	44.08	кивает головой
gesture@iys1984f	@iys1984f	62.21	64.03	кивает головой
gesture@iys1984f	@iys1984f	85.58	89.36	локоть правой руки опирается на колено, правая кисть ладонью к себе, пальцы правой руки сжаты, указательный палец правой руки у виска, убирает указательный палец правой руки от виска, сгибает правое запястье, ритмично кивает головой
gesture@iys1984f	@iys1984f	100.215	101.11	мотает головой
gesture@iys1984f	@iys1984f	102.28	103.175	мотает головой
gesture@iys1984f	@iys1984f	103.882	104.41	кивает головой
gesture@iys1984f	@iys1984f	110.64	111.44	ритмично кивает головой
gesture@iys1984f	@iys1984f	150.442	152.672	левая рука на поясе, правая ладонь на столе, убирает правую ладонь с барной стойки, кладёт на сгиб левого локтя, сгибает левую руку, подносит левую ладонь к шее, левая ладонь обращена к себе
gesture@iys1984f	@iys1984f	161.38	164.092	левая кисть под подбородком, сжата, указательный палец левой руки касается подбородка, разжимает левую ладонь, показывает рукой  на собеседницу, ладонь обращена к потолку, сжимает левую кисть, возвращает в исходное положение
gesture@iys1984f	@iys1984f	166.29	170.09	отдаляет левую ладонь от подбородка, опускает левую руку, кладёт правую ладонь на барную стойку
gesture@iys1984f	@iys1984f	184.21	185.36	сгибает левую руку в локте, поднимает левую кисть на уровень плеч, показывает левой рукой на собеседницу, ритмически бьёт левой кистью, ладонь обращена к себе
gesture@iys1984f	@iys1984f	185.38	186.42	двигает кисти к залу, вращает кистями от себя, опускает руки
gesture@iys1984f	@iys1984f	239.885	242.025	качает головой
gesture@iys1984f	@iys1984f	243.11	244.41	отворачивает голову от собеседницы, возвращает в исходное положение
gesture@iys1984f	@iys1984f	246.255	247.315	ритмично кивает головой
gesture@iys1984f	@iys1984f	247.59	250.2	рубит воздух ладонями, сплетает руки в замок
gesture@iys1984f	@iys1984f	251.6	253.16	разводит руками
gesture@iys1984f	@iys1984f	279.575	282.095	ассиметрично вращает кистями на себя, двигает кистями назад
gesture@iys1984f	@iys1984f	283.89	289.14	ассиметрично вращает кистями от себя, потирает пальцы, качает головой
gesture@iys1984f	@iys1984f	289.19	297.16	ритмично вращает кистями, ритмично бьёт кистями
gesture@iys1984f	@iys1984f	327.48	331.64	ставит левый кулак под подбородок
gestMeaning@eiv1982f	@eiv1982f	3.87	5.33	подчёркивает эмфазу
gestMeaning@eiv1982f	@eiv1982f	5.53	6.36	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	10.76	16.27	жест внутреннего состояния: потрясение
gestMeaning@eiv1982f	@eiv1982f	19.54	22.56	подчёркивает ритм фразы
gestMeaning@eiv1982f	@eiv1982f	22.595	26.74	изобразительный жест: доля секунды
gestMeaning@eiv1982f	@eiv1982f	26.76	31.7	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	31.7	34.63	жест внутреннего состояния: облегчение
gestMeaning@eiv1982f	@eiv1982f	34.64	36.49	дейктический жест: общеуказательный
gestMeaning@eiv1982f	@eiv1982f	36.53	39.63	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	39.67	41.69	подчёркивает ритм фразы
gestMeaning@eiv1982f	@eiv1982f	41.72	42.455	жест внутреннего состояния: ясно без слов
gestMeaning@eiv1982f	@eiv1982f	45.69	46.38	жест внутреннего состояния: недоумение
gestMeaning@eiv1982f	@eiv1982f	46.53	47.32	жест внутреннего состояния: недоумение
gestMeaning@eiv1982f	@eiv1982f	47.975	49.97	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	50.52	51.7	подчёркивает эмфазу
gestMeaning@eiv1982f	@eiv1982f	52.565	53.425	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	54.36	55.33	жест внутреннего состояния: что тут поделаешь!
gestMeaning@eiv1982f	@eiv1982f	55.35	57.68	изобразительный жест: общие, большие мероприятия
gestMeaning@eiv1982f	@eiv1982f	57.74	61.08	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	72.95	73.96	жест внутреннего состояния: недоумение
gestMeaning@eiv1982f	@eiv1982f	75.41	77.34	жест речевого действия: отрицание
gestMeaning@eiv1982f	@eiv1982f	78.92	80.31	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	84.0	85.53	жест речевого действия: отрицание
gestMeaning@eiv1982f	@eiv1982f	85.57	88.7	подчёркивает ритм фразы
gestMeaning@eiv1982f	@eiv1982f	90.31	95.6	жест внутреннего состояния: ярость 
gestMeaning@eiv1982f	@eiv1982f	97.175	101.85	поддерживает свою коммуникацию, подчёркивает эмфазу
gestMeaning@eiv1982f	@eiv1982f	104.531	105.991	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	111.45	115.52	изобразительный жест: туда-обратно, с одной стороны
gestMeaning@eiv1982f	@eiv1982f	117.97	120.4	жест внутреннего состояния: стыд
gestMeaning@eiv1982f	@eiv1982f	121.59	124.08	жест внутреннего состояния: манерность
gestMeaning@eiv1982f	@eiv1982f	124.105	127.195	жест внутреннего состояния: манерность
gestMeaning@eiv1982f	@eiv1982f	127.205	131.0	жест внутреннего состояния: манерность
gestMeaning@eiv1982f	@eiv1982f	142.682	144.182	поддерживает коммуникацию, отрицание
gestMeaning@eiv1982f	@eiv1982f	144.207	145.077	изобразительный жест: всё
gestMeaning@eiv1982f	@eiv1982f	145.097	145.427	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	145.507	147.777	подчёркивает эмфазу
gestMeaning@eiv1982f	@eiv1982f	147.807	148.617	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	149.54	150.43	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	150.442	150.822	изобразительный жест: несколько
gestMeaning@eiv1982f	@eiv1982f	150.847	151.457	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	151.87	152.69	жест речевого действия: перечисление
gestMeaning@eiv1982f	@eiv1982f	158.03	158.71	подчёркивает эмфазу
gestMeaning@eiv1982f	@eiv1982f	159.22	159.43	дейктический жест: общеуказательный
gestMeaning@eiv1982f	@eiv1982f	159.47	160.2	изобразительный жест: щепотка
gestMeaning@eiv1982f	@eiv1982f	160.22	160.9	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	162.385	163.425	подчёркивает эмфазу
gestMeaning@eiv1982f	@eiv1982f	163.44	163.95	жест внутреннего состояния: пренебрежение
gestMeaning@eiv1982f	@eiv1982f	163.98	164.93	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	164.94	165.32	жест внутреннего состояния: уверенность
gestMeaning@eiv1982f	@eiv1982f	165.33	166.21	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	166.235	166.825	жест внутреннего состояния: уверенность
gestMeaning@eiv1982f	@eiv1982f	166.83	169.09	поддерживает свою коммуникацию
gestMeaning@eiv1982f	@eiv1982f	169.145	169.825	поддерживает коммуникацию
gestMeaning@eiv1982f	@eiv1982f	183.62	184.1	жест речевого действия: аргумент
gestMeaning@eiv1982f	@eiv1982f	186.48	191.06	изобразительный жест: ходят мифы
